Date_Time,variable,value
7/3/2023 23:01,MA4,20.75
7/3/2023 23:31,MA4,20.75
7/4/2023 0:01,MA4,20.875
7/4/2023 0:31,MA4,21
7/4/2023 1:01,MA4,21.125
7/4/2023 1:31,MA4,21.25
7/4/2023 2:01,MA4,21.375
7/4/2023 2:31,MA4,21.5
7/4/2023 3:01,MA4,21.5
7/4/2023 3:31,MA4,21.625
7/4/2023 4:01,MA4,21.75
7/4/2023 4:31,MA4,21.75
7/4/2023 5:01,MA4,21.875
7/4/2023 5:31,MA4,21.875
7/4/2023 6:01,MA4,22
7/4/2023 6:31,MA4,22.125
7/4/2023 7:01,MA4,22.25
7/4/2023 7:31,MA4,22.375
7/4/2023 8:01,MA4,22.5
7/4/2023 8:31,MA4,22.75
7/4/2023 9:01,MA4,22.875
7/4/2023 9:31,MA4,23
7/4/2023 10:01,MA4,23.125
7/4/2023 10:31,MA4,23.375
7/4/2023 11:01,MA4,23.5
7/4/2023 11:31,MA4,23.625
7/4/2023 12:01,MA4,23.75
7/4/2023 12:31,MA4,23.875
7/4/2023 13:01,MA4,24
7/4/2023 13:31,MA4,24.125
7/4/2023 14:01,MA4,24.375
7/4/2023 14:31,MA4,24.5
7/4/2023 15:01,MA4,24.625
7/4/2023 15:31,MA4,24.75
7/4/2023 16:01,MA4,24.625
7/4/2023 16:31,MA4,24.625
7/4/2023 17:01,MA4,24.625
7/4/2023 17:31,MA4,24.625
7/4/2023 18:01,MA4,24.5
7/4/2023 18:31,MA4,24.5
7/4/2023 19:01,MA4,24.5
7/4/2023 19:31,MA4,24.375
7/4/2023 20:01,MA4,24.25
7/4/2023 20:31,MA4,24.125
7/4/2023 21:01,MA4,24.125
7/4/2023 21:31,MA4,24.125
7/4/2023 22:01,MA4,24
7/4/2023 22:31,MA4,24
7/4/2023 23:01,MA4,23.875
7/4/2023 23:31,MA4,23.875
7/5/2023 0:01,MA4,23.875
7/5/2023 0:31,MA4,23.75
7/5/2023 1:01,MA4,23.75
7/5/2023 1:31,MA4,23.625
7/5/2023 2:01,MA4,23.625
7/5/2023 2:31,MA4,23.5
7/5/2023 3:01,MA4,23.5
7/5/2023 3:31,MA4,23.375
7/5/2023 4:01,MA4,23.375
7/5/2023 4:31,MA4,23.25
7/5/2023 5:01,MA4,23.125
7/5/2023 5:31,MA4,23.125
7/5/2023 6:01,MA4,23
7/5/2023 6:31,MA4,23
7/5/2023 7:01,MA4,22.875
7/5/2023 7:31,MA4,22.875
7/5/2023 8:01,MA4,22.875
7/3/2023 10:01,MA6,24.5
7/3/2023 10:31,MA6,24
7/3/2023 11:01,MA6,23.625
7/3/2023 11:31,MA6,23.375
7/3/2023 12:01,MA6,23.125
7/3/2023 12:31,MA6,22.875
7/3/2023 13:01,MA6,22.75
7/3/2023 13:31,MA6,22.625
7/3/2023 14:01,MA6,22.5
7/3/2023 14:31,MA6,22.5
7/3/2023 15:01,MA6,22.375
7/3/2023 15:31,MA6,22.375
7/3/2023 16:01,MA6,22.375
7/3/2023 16:31,MA6,22.375
7/3/2023 17:01,MA6,22.375
7/3/2023 17:31,MA6,22.375
7/3/2023 18:01,MA6,22.375
7/3/2023 18:31,MA6,22.25
7/3/2023 19:01,MA6,22.25
7/3/2023 19:31,MA6,22.125
7/3/2023 20:01,MA6,22
7/3/2023 20:31,MA6,21.875
7/3/2023 21:01,MA6,21.75
7/3/2023 21:31,MA6,21.625
7/3/2023 22:01,MA6,21.5
7/3/2023 22:31,MA6,21.375
7/3/2023 23:01,MA6,21.375
7/3/2023 23:31,MA6,21.375
7/4/2023 0:01,MA6,21.375
7/4/2023 0:31,MA6,21.5
7/4/2023 1:01,MA6,21.625
7/4/2023 1:31,MA6,21.75
7/4/2023 2:01,MA6,21.875
7/4/2023 2:31,MA6,22
7/4/2023 3:01,MA6,22.125
7/4/2023 3:31,MA6,22.25
7/4/2023 4:01,MA6,22.25
7/4/2023 4:31,MA6,22.375
7/4/2023 5:01,MA6,22.375
7/4/2023 5:31,MA6,22.5
7/4/2023 6:01,MA6,22.625
7/4/2023 6:31,MA6,22.625
7/4/2023 7:01,MA6,22.75
7/4/2023 7:31,MA6,23
7/4/2023 8:01,MA6,23.125
7/4/2023 8:31,MA6,23.375
7/4/2023 9:01,MA6,23.5
7/4/2023 9:31,MA6,23.625
7/4/2023 10:01,MA6,23.75
7/4/2023 10:31,MA6,23.875
7/4/2023 11:01,MA6,24
7/4/2023 11:31,MA6,24.125
7/4/2023 12:01,MA6,24.25
7/4/2023 12:31,MA6,24.5
7/4/2023 13:01,MA6,24.625
7/4/2023 13:31,MA6,24.75
7/4/2023 14:01,MA6,24.875
7/4/2023 14:31,MA6,25.125
7/4/2023 15:01,MA6,25.25
7/4/2023 15:31,MA6,25.375
7/4/2023 16:01,MA6,25.25
7/4/2023 16:31,MA6,25.25
7/4/2023 17:01,MA6,25.25
7/4/2023 17:31,MA6,25.125
7/4/2023 18:01,MA6,25.125
7/4/2023 18:31,MA6,25.125
7/4/2023 19:01,MA6,25
7/4/2023 19:31,MA6,25
7/4/2023 20:01,MA6,24.875
7/4/2023 20:31,MA6,24.75
7/4/2023 21:01,MA6,24.75
7/4/2023 21:31,MA6,24.625
7/4/2023 22:01,MA6,24.625
7/4/2023 22:31,MA6,24.625
7/4/2023 23:01,MA6,24.5
7/4/2023 23:31,MA6,24.5
7/5/2023 0:01,MA6,24.5
7/5/2023 0:31,MA6,24.375
7/5/2023 1:01,MA6,24.375
7/5/2023 1:31,MA6,24.25
7/5/2023 2:01,MA6,24.125
7/5/2023 2:31,MA6,24.125
7/5/2023 3:01,MA6,24
7/5/2023 3:31,MA6,24
7/5/2023 4:01,MA6,23.875
7/5/2023 4:31,MA6,23.75
7/5/2023 5:01,MA6,23.75
7/5/2023 5:31,MA6,23.625
7/5/2023 6:01,MA6,23.625
7/5/2023 6:31,MA6,23.5
7/5/2023 7:01,MA6,23.5
7/5/2023 7:31,MA6,23.5
7/5/2023 8:01,MA6,23.5
7/3/2023 10:01,MA7,24.125
7/3/2023 10:31,MA7,23.625
7/3/2023 11:01,MA7,23.25
7/3/2023 11:31,MA7,22.875
7/3/2023 12:01,MA7,22.75
7/3/2023 12:31,MA7,22.5
7/3/2023 13:01,MA7,22.375
7/3/2023 13:31,MA7,22.25
7/3/2023 14:01,MA7,22.125
7/3/2023 14:31,MA7,22.125
7/3/2023 15:01,MA7,22.125
7/3/2023 15:31,MA7,22
7/3/2023 16:01,MA7,22
7/3/2023 16:31,MA7,22
7/3/2023 17:01,MA7,22
7/3/2023 17:31,MA7,22
7/3/2023 18:01,MA7,22
7/3/2023 18:31,MA7,22
7/3/2023 19:01,MA7,21.875
7/3/2023 19:31,MA7,21.75
7/3/2023 20:01,MA7,21.625
7/3/2023 20:31,MA7,21.625
7/3/2023 21:01,MA7,21.5
7/3/2023 21:31,MA7,21.375
7/3/2023 22:01,MA7,21.125
7/3/2023 22:31,MA7,21
7/3/2023 23:01,MA7,21
7/3/2023 23:31,MA7,21
7/4/2023 0:01,MA7,21.125
7/4/2023 0:31,MA7,21.125
7/4/2023 1:01,MA7,21.25
7/4/2023 1:31,MA7,21.5
7/4/2023 2:01,MA7,21.625
7/4/2023 2:31,MA7,21.625
7/4/2023 3:01,MA7,21.75
7/4/2023 3:31,MA7,21.875
7/4/2023 4:01,MA7,21.875
7/4/2023 4:31,MA7,22
7/4/2023 5:01,MA7,22.125
7/4/2023 5:31,MA7,22.125
7/4/2023 6:01,MA7,22.25
7/4/2023 6:31,MA7,22.375
7/4/2023 7:01,MA7,22.375
7/4/2023 7:31,MA7,22.625
7/4/2023 8:01,MA7,22.75
7/4/2023 8:31,MA7,22.875
7/4/2023 9:01,MA7,23.125
7/4/2023 9:31,MA7,23.25
7/4/2023 10:01,MA7,23.375
7/4/2023 10:31,MA7,23.5
7/4/2023 11:01,MA7,23.625
7/4/2023 11:31,MA7,23.75
7/4/2023 12:01,MA7,23.875
7/4/2023 12:31,MA7,24
7/4/2023 13:01,MA7,24.25
7/4/2023 13:31,MA7,24.375
7/4/2023 14:01,MA7,24.5
7/4/2023 14:31,MA7,24.625
7/4/2023 15:01,MA7,24.875
7/4/2023 15:31,MA7,24.875
7/4/2023 16:01,MA7,24.875
7/4/2023 16:31,MA7,24.875
7/4/2023 17:01,MA7,24.875
7/4/2023 17:31,MA7,24.75
7/4/2023 18:01,MA7,24.75
7/4/2023 18:31,MA7,24.75
7/4/2023 19:01,MA7,24.625
7/4/2023 19:31,MA7,24.625
7/4/2023 20:01,MA7,24.5
7/4/2023 20:31,MA7,24.375
7/4/2023 21:01,MA7,24.375
7/4/2023 21:31,MA7,24.375
7/4/2023 22:01,MA7,24.25
7/4/2023 22:31,MA7,24.25
7/4/2023 23:01,MA7,24.125
7/4/2023 23:31,MA7,24.125
7/5/2023 0:01,MA7,24.125
7/5/2023 0:31,MA7,24
7/5/2023 1:01,MA7,24
7/5/2023 1:31,MA7,23.875
7/5/2023 2:01,MA7,23.875
7/5/2023 2:31,MA7,23.75
7/5/2023 3:01,MA7,23.75
7/5/2023 3:31,MA7,23.625
7/5/2023 4:01,MA7,23.625
7/5/2023 4:31,MA7,23.5
7/5/2023 5:01,MA7,23.375
7/5/2023 5:31,MA7,23.375
7/5/2023 6:01,MA7,23.25
7/5/2023 6:31,MA7,23.25
7/5/2023 7:01,MA7,23.125
7/5/2023 7:31,MA7,23.125
7/5/2023 8:01,MA7,23.125
7/3/2023 10:01,MA8,24.125
7/3/2023 10:31,MA8,23.625
7/3/2023 11:01,MA8,23.25
7/3/2023 11:31,MA8,22.875
7/3/2023 12:01,MA8,22.75
7/3/2023 12:31,MA8,22.5
7/3/2023 13:01,MA8,22.375
7/3/2023 13:31,MA8,22.25
7/3/2023 14:01,MA8,22.125
7/3/2023 14:31,MA8,22.125
7/3/2023 15:01,MA8,22.125
7/3/2023 15:31,MA8,22
7/3/2023 16:01,MA8,22
7/3/2023 16:31,MA8,22
7/3/2023 17:01,MA8,22
7/3/2023 17:31,MA8,22
7/3/2023 18:01,MA8,22
7/3/2023 18:31,MA8,21.875
7/3/2023 19:01,MA8,21.875
7/3/2023 19:31,MA8,21.75
7/3/2023 20:01,MA8,21.625
7/3/2023 20:31,MA8,21.5
7/3/2023 21:01,MA8,21.5
7/3/2023 21:31,MA8,21.25
7/3/2023 22:01,MA8,21.125
7/3/2023 22:31,MA8,21
7/3/2023 23:01,MA8,21
7/3/2023 23:31,MA8,21
7/4/2023 0:01,MA8,21.125
7/4/2023 0:31,MA8,21.125
7/4/2023 1:01,MA8,21.25
7/4/2023 1:31,MA8,21.5
7/4/2023 2:01,MA8,21.625
7/4/2023 2:31,MA8,21.625
7/4/2023 3:01,MA8,21.75
7/4/2023 3:31,MA8,21.875
7/4/2023 4:01,MA8,21.875
7/4/2023 4:31,MA8,22
7/4/2023 5:01,MA8,22.125
7/4/2023 5:31,MA8,22.125
7/4/2023 6:01,MA8,22.25
7/4/2023 6:31,MA8,22.375
7/4/2023 7:01,MA8,22.375
7/4/2023 7:31,MA8,22.625
7/4/2023 8:01,MA8,22.75
7/4/2023 8:31,MA8,23
7/4/2023 9:01,MA8,23.125
7/4/2023 9:31,MA8,23.25
7/4/2023 10:01,MA8,23.375
7/4/2023 10:31,MA8,23.625
7/4/2023 11:01,MA8,23.75
7/4/2023 11:31,MA8,23.875
7/4/2023 12:01,MA8,24
7/4/2023 12:31,MA8,24.125
7/4/2023 13:01,MA8,24.25
7/4/2023 13:31,MA8,24.375
7/4/2023 14:01,MA8,24.625
7/4/2023 14:31,MA8,24.75
7/4/2023 15:01,MA8,24.875
7/4/2023 15:31,MA8,25
7/4/2023 16:01,MA8,24.875
7/4/2023 16:31,MA8,24.875
7/4/2023 17:01,MA8,24.875
7/4/2023 17:31,MA8,24.875
7/4/2023 18:01,MA8,24.75
7/4/2023 18:31,MA8,24.75
7/4/2023 19:01,MA8,24.75
7/4/2023 19:31,MA8,24.625
7/4/2023 20:01,MA8,24.5
7/4/2023 20:31,MA8,24.375
7/4/2023 21:01,MA8,24.375
7/4/2023 21:31,MA8,24.25
7/4/2023 22:01,MA8,24.25
7/4/2023 22:31,MA8,24.25
7/4/2023 23:01,MA8,24.125
7/4/2023 23:31,MA8,24.125
7/5/2023 0:01,MA8,24.125
7/5/2023 0:31,MA8,24
7/5/2023 1:01,MA8,24
7/5/2023 1:31,MA8,23.875
7/5/2023 2:01,MA8,23.75
7/5/2023 2:31,MA8,23.75
7/5/2023 3:01,MA8,23.625
7/5/2023 3:31,MA8,23.625
7/5/2023 4:01,MA8,23.5
7/5/2023 4:31,MA8,23.375
7/5/2023 5:01,MA8,23.375
7/5/2023 5:31,MA8,23.375
7/5/2023 6:01,MA8,23.25
7/5/2023 6:31,MA8,23.125
7/5/2023 7:01,MA8,23.125
7/5/2023 7:31,MA8,23.125
